-a	10
-e	10
-i	10
-l	10
-n	10
-o	10
-s	10
aa	1
ab	1
ac	125
ba	105
bă	83
ca	176
că	154
Bd	1
CD	1
ad	83
be	1
ce	166
cf	133
ag	1
ah	96
ai	144
bi	74
ch	83
ci	116
ăi	83
al	183
cl	1
ăl	74
am	1
an	132
bo	1
cm	129
co	74
ar	137
as	94
aș	96
br	1
cr	1
AT	74
CV	1
au	149
bu	1
cu	202
ax	122
az	1
by	1
DC
FC
da	74
dă	143
ea	128
ec	74
fa	83
fă	94
de	212
ed	1
ee	1
di	74
eh	74
ei	175
fi	177
El	137
dj	1
dl
DN
FM	1
dm	1
do	83
en	83
fo	1
dr
er	83
es	1
fr	152
du	88
dv
eV	94
et	88
eu	111
fu	1
ex	98
GB	1
ga	74
ha	94
hă	74
ia	136
ic	111
HD
ID	1
gd	1
ge	74
gf	1
he	88
ie	110
hi	74
hî	74
îi	140
îî	74
il	74
îl	144
GM
GO	1
Io	1
hm	74
ho	74
im	83
in	130
în	202
HP
Ip	1
gs	1
hr	1
iq	1
ir	83
is	1
îs	83
IT	1
gu	1
hu	1
iu	94
iț	1
GX
Hz	74
gy	1
iz	88
kb
la	197
lă	91
ke	1
le	152
LG
Li	108
kg	120
kJ
kl
Jo	1
KO	1
km	111
jr
kr	1
lr	1
lu	1
KW	1
MB
ma	1
mă	116
na	94
oa	1
ob	1
ME	1
md	1
ne	113
of	88
mg	1
mi	100
ni	96
oh	74
oi	129
OK	1
ml
ol	94
MO	1
mm
mn	1
no	83
om	161
on	74
oo	1
ms	1
np	1
nr
ns
op	94
or	98
os	136
NT
mu	74
nu	176
ot	1
ou	121
MW
Oz	1
my	1
ox	1
PC	1
RC
SB	1
SC	1
pa	74
ra	83
ră	1
sa	140
să	178
șa	111
PD	1
Sf	1
pe	191
re	96
se	198
Rh	1
ph	1
pi	74
si	124
și	204
PN
pm	1
ro	1
sm	1
sn	1
so	1
șo	74
PS	1
QQ
pr	94
sr	1
ss	83
St	83
pt	96
pu	74
ru	1
su	1
șt	74
șu	74
sz	1
TB	1
ta	100
tc	125
tă
ua	1
va	131
vă	100
ța	74
UE
te	130
ud	110
uf	83
Tg
th	1
ti	74
ug	1
ui	94
vi	83
ți	119
UK
tl	1
ul	88
VM
tm	1
to	74
un	189
US	74
uș	91
vs
TV
tu	105
tț	74
ut	83
uu	74
vu	1
Uz	74
za	88
zi	135
WM
zo	1
XP
xu	1
.ac
.ba
.bb
.ca
.cc
.ad
.ae
.af
.bd
.be
.bf
.cd
.cf
-ai	10
.ag
.ai
.bg
.bh
.bi
.cg
.ch
.ci
-al	10
.al
.bj
.ck
.cl
-am	10
.am
.ao
.bm
.bn
.bo
.cm
.cn
.co
-ar	10
-aș	10
.aq
.ar
.as
.bq
.br
.bs
.cr
-at	10
-au	10
-cu	10
.at
.au
.bt
.cu
.cv
-by	10
.aw
.ax
.az
.bw
.by
.bz
.cw
.cx
.cy
.cz
.ec
-de	10
.de
.ee
-ei	10
.eg
.eh
.fi
.dj
.dk
.fj
.fk
.dm
.do
.fm
.fo
.er
.es
.fr
.et
.eu
-ez	10
.dz
.ga
.gd
.ge
.gf
.id
.ie
-ii	10
.gg
.gh
.gi
.gl
.hk
.il
-in	10
.gm
.gn
.hm
.hn
.im
.in
.io
.gp
.gq
.gr
.gs
.hr
.iq
.ir
.is
.gt
.gu
.ht
.hu
.it
.gw
.gy
-l-	10
.la
.lb
.lc
-le	10
.je
.ke
.kg
.kh
.ki
.li
.lk
.jm
.jo
.km
.kn
.jp
.kp
.kr
.lr
.ls
.lt
.lu
.lv
.kw
.ky
.kz
.ly
-mă	10
.ma
.mc
.na
.nc
-ne	10
.md
.me
.ne
.nf
-mi	10
-oi	10
.mg
.mh
.ng
.ni
.mk
.ml
.nl
-om	10
.mm
.mn
.mo
.no
.om
-or	10
.mp
.mq
.mr
.ms
